recordid,position_request_timestamp,postyp,approve,fiscalyr,hirefte,clineft,rescheft,edueft,admineft,rank___1,rank___2,rank___3,rank___4,rank___5,stafflvl___1,stafflvl___2,stafflvl___3,stafflvl___4,prfsfee,extgrant,endow,labfee,gifts,divbp,ccrffund,fundothr,qualify___1,qualify___2,qualify___99,qualothr,align,strtarea___1,strtarea___2,strtarea___3,strtarea___4,strtarea___5,strtarea___6,strtarea___7
3001,1/26/2023 11:33,Replacement,Yes,2023,1,100,0,0,0,0,0,0,0,1,0,1,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3002,1/25/2023 21:24,New,No,2024,1,80,20,0,0,0,1,1,0,0,0,0,0,0,95,5,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3004,1/27/2023 10:24,Replacement,Yes,2023,1,80,20,0,0,0,1,1,0,0,0,0,0,0,30,7,,,,63,,,0,1,0,,,0,0,0,0,0,0,0
3005,1/27/2023 11:01,New,No,2024,1,80,20,0,0,0,1,1,0,0,0,0,0,0,41,6,,,,53,,,0,1,0,,,0,0,0,0,0,0,0
3007,2/3/2023 16:05,Replacement,Yes,2023,1,70,30,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3008,2/3/2023 16:07,Replacement,Yes,2023,1,70,30,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0
3010,2/8/2023 15:09,New,Yes,2023,1,25,75,0,0,0,1,0,0,0,0,0,0,0,,,100,,,,,,1,0,1,D.Min ,No,0,0,0,0,0,0,0
3011,2/7/2023 14:06,New,No,,1,40,60,0,0,0,1,0,0,0,0,0,0,0,49,20,13,,,,18,,0,1,0,,Yes,0,1,0,0,1,0,0
3012,2/8/2023 10:56,Replacement,Yes,2023,1,80,0,0,20,0,1,0,0,1,1,0,0,0,100,,,,,,,,1,0,0,,,0,0,0,0,0,0,0
3013,2/9/2023 9:32,New,No,,1,0,100,0,0,1,0,0,0,0,0,0,0,0,,75,25,,,,,,0,1,0,,Yes,0,1,0,0,0,0,0
3015,2/10/2023 15:54,New,No,,1,80,20,0,0,0,1,0,0,0,0,0,0,0,100,,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3016,2/12/2023 22:05,Replacement,Yes,2023,1,80,20,0,0,0,1,1,0,0,0,0,0,0,95,5,,,,,,,0,1,0,,,0,0,0,0,0,0,0
3017,2/14/2023 10:53,New,No,,1,0,90,10,0,0,1,0,0,0,0,0,0,0,,42,,,,53,,5,1,0,0,,Yes,0,1,1,0,0,0,0
3018,2/13/2023 18:59,New,No,,1,80,20,0,0,0,1,1,1,0,0,0,0,0,,,,,,67.87,,32.13,0,0,0,,,0,0,0,0,0,0,0
3019,2/13/2023 19:02,New,No,,1,80,20,0,0,0,1,1,1,0,0,0,0,0,,,,,,61.23,,38.77,0,0,0,,,0,0,0,0,0,0,0
